NU_ANO;TP_INSCRICAO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
2025;0;12;1;1;10028;12;5103403;51;5
